stop_sequence,Intermodal,St. Paul at Plankinton EB,Historic Third Ward EB,Wisconsin Ave. NB,City Hall NB,Cathedral Square EB,Jackson at Juneau NB,Ogden Jackson EB,Ogden at Astor EB,Burns Commons
1,5:00 AM,5:02 AM,5:04 AM,5:06 AM,5:08 AM,5:09 AM,5:11 AM,5:13 AM,5:15 AM,5:17 AM
2,5:20 AM,5:22 AM,5:24 AM,5:26 AM,5:28 AM,5:29 AM,5:31 AM,5:33 AM,5:35 AM,5:37 AM
3,5:40 AM,5:42 AM,5:44 AM,5:46 AM,5:48 AM,5:49 AM,5:51 AM,5:53 AM,5:55 AM,5:57 AM
4,6:00 AM,6:02 AM,6:04 AM,6:06 AM,6:08 AM,6:09 AM,6:11 AM,6:13 AM,6:15 AM,6:17 AM
5,6:20 AM,6:22 AM,6:24 AM,6:26 AM,6:28 AM,6:29 AM,6:31 AM,6:33 AM,6:35 AM,6:37 AM
6,6:40 AM,6:42 AM,6:44 AM,6:46 AM,6:48 AM,6:49 AM,6:51 AM,6:53 AM,6:55 AM,6:57 AM
7,7:00 AM,7:02 AM,7:04 AM,7:06 AM,7:08 AM,7:09 AM,7:11 AM,7:13 AM,7:15 AM,7:17 AM
8,7:15 AM,7:17 AM,7:19 AM,7:21 AM,7:23 AM,7:24 AM,7:26 AM,7:28 AM,7:30 AM,7:32 AM
9,7:30 AM,7:32 AM,7:34 AM,7:36 AM,7:38 AM,7:39 AM,7:41 AM,7:43 AM,7:45 AM,7:47 AM
10,7:45 AM,7:47 AM,7:49 AM,7:51 AM,7:53 AM,7:54 AM,7:56 AM,7:58 AM,8:00 AM,8:02 AM
11,8:00 AM,8:02 AM,8:04 AM,8:06 AM,8:08 AM,8:09 AM,8:11 AM,8:13 AM,8:15 AM,8:17 AM
12,8:15 AM,8:17 AM,8:19 AM,8:21 AM,8:23 AM,8:24 AM,8:26 AM,8:28 AM,8:30 AM,8:32 AM
13,8:30 AM,8:32 AM,8:34 AM,8:36 AM,8:38 AM,8:39 AM,8:41 AM,8:43 AM,8:45 AM,8:47 AM
14,8:45 AM,8:47 AM,8:49 AM,8:51 AM,8:53 AM,8:54 AM,8:56 AM,8:58 AM,9:00 AM,9:02 AM
15,9:00 AM,9:02 AM,9:04 AM,9:06 AM,9:08 AM,9:09 AM,9:11 AM,9:13 AM,9:15 AM,9:17 AM
16,9:15 AM,9:17 AM,9:19 AM,9:21 AM,9:23 AM,9:24 AM,9:26 AM,9:28 AM,9:30 AM,9:32 AM
17,9:30 AM,9:32 AM,9:34 AM,9:36 AM,9:38 AM,9:39 AM,9:41 AM,9:43 AM,9:45 AM,9:47 AM
18,9:45 AM,9:47 AM,9:49 AM,9:51 AM,9:53 AM,9:54 AM,9:56 AM,9:58 AM,10:00 AM,10:02 AM
19,10:00 AM,10:02 AM,10:04 AM,10:06 AM,10:08 AM,10:09 AM,10:11 AM,10:13 AM,10:15 AM,10:17 AM
20,10:15 AM,10:17 AM,10:19 AM,10:21 AM,10:23 AM,10:24 AM,10:26 AM,10:28 AM,10:30 AM,10:32 AM
21,10:30 AM,10:32 AM,10:34 AM,10:36 AM,10:38 AM,10:39 AM,10:41 AM,10:43 AM,10:45 AM,10:47 AM
22,10:45 AM,10:47 AM,10:49 AM,10:51 AM,10:53 AM,10:54 AM,10:56 AM,10:58 AM,11:00 AM,11:02 AM
23,11:00 AM,11:02 AM,11:04 AM,11:06 AM,11:08 AM,11:09 AM,11:11 AM,11:13 AM,11:15 AM,11:17 AM
24,11:15 AM,11:17 AM,11:19 AM,11:21 AM,11:23 AM,11:24 AM,11:26 AM,11:28 AM,11:30 AM,11:32 AM
25,11:30 AM,11:32 AM,11:34 AM,11:36 AM,11:38 AM,11:39 AM,11:41 AM,11:43 AM,11:45 AM,11:47 AM
26,11:45 AM,11:47 AM,11:49 AM,11:51 AM,11:53 AM,11:54 AM,11:56 AM,11:58 AM,12:00 PM,12:02 PM
27,12:00 PM,12:02 PM,12:04 PM,12:06 PM,12:08 PM,12:09 PM,12:11 PM,12:13 PM,12:15 PM,12:17 PM
28,12:15 PM,12:17 PM,12:19 PM,12:21 PM,12:23 PM,12:24 PM,12:26 PM,12:28 PM,12:30 PM,12:32 PM
29,12:30 PM,12:32 PM,12:34 PM,12:36 PM,12:38 PM,12:39 PM,12:41 PM,12:43 PM,12:45 PM,12:47 PM
30,12:45 PM,12:47 PM,12:49 PM,12:51 PM,12:53 PM,12:54 PM,12:56 PM,12:58 PM,1:00 PM,1:02 PM
31,1:00 PM,1:02 PM,1:04 PM,1:06 PM,1:08 PM,1:09 PM,1:11 PM,1:13 PM,1:15 PM,1:17 PM
32,1:15 PM,1:17 PM,1:19 PM,1:21 PM,1:23 PM,1:24 PM,1:26 PM,1:28 PM,1:30 PM,1:32 PM
33,1:30 PM,1:32 PM,1:34 PM,1:36 PM,1:38 PM,1:39 PM,1:41 PM,1:43 PM,1:45 PM,1:47 PM
34,1:45 PM,1:47 PM,1:49 PM,1:51 PM,1:53 PM,1:54 PM,1:56 PM,1:58 PM,2:00 PM,2:02 PM
35,2:00 PM,2:02 PM,2:04 PM,2:06 PM,2:08 PM,2:09 PM,2:11 PM,2:13 PM,2:15 PM,2:17 PM
36,2:15 PM,2:17 PM,2:19 PM,2:21 PM,2:23 PM,2:24 PM,2:26 PM,2:28 PM,2:30 PM,2:32 PM
37,2:30 PM,2:32 PM,2:34 PM,2:36 PM,2:38 PM,2:39 PM,2:41 PM,2:43 PM,2:45 PM,2:47 PM
38,2:45 PM,2:47 PM,2:49 PM,2:51 PM,2:53 PM,2:54 PM,2:56 PM,2:58 PM,3:00 PM,3:02 PM
39,3:00 PM,3:02 PM,3:04 PM,3:06 PM,3:08 PM,3:09 PM,3:11 PM,3:13 PM,3:15 PM,3:17 PM
40,3:15 PM,3:17 PM,3:19 PM,3:21 PM,3:23 PM,3:24 PM,3:26 PM,3:28 PM,3:30 PM,3:32 PM
41,3:30 PM,3:32 PM,3:34 PM,3:36 PM,3:38 PM,3:39 PM,3:41 PM,3:43 PM,3:45 PM,3:47 PM
42,3:45 PM,3:47 PM,3:49 PM,3:51 PM,3:53 PM,3:54 PM,3:56 PM,3:58 PM,4:00 PM,4:02 PM
43,4:00 PM,4:02 PM,4:04 PM,4:06 PM,4:08 PM,4:09 PM,4:11 PM,4:13 PM,4:15 PM,4:17 PM
44,4:15 PM,4:17 PM,4:19 PM,4:21 PM,4:23 PM,4:24 PM,4:26 PM,4:28 PM,4:30 PM,4:32 PM
45,4:30 PM,4:32 PM,4:34 PM,4:36 PM,4:38 PM,4:39 PM,4:41 PM,4:43 PM,4:45 PM,4:47 PM
46,4:45 PM,4:47 PM,4:49 PM,4:51 PM,4:53 PM,4:54 PM,4:56 PM,4:58 PM,5:00 PM,5:02 PM
47,5:00 PM,5:02 PM,5:04 PM,5:06 PM,5:08 PM,5:09 PM,5:11 PM,5:13 PM,5:15 PM,5:17 PM
48,5:15 PM,5:17 PM,5:19 PM,5:21 PM,5:23 PM,5:24 PM,5:26 PM,5:28 PM,5:30 PM,5:32 PM
49,5:30 PM,5:32 PM,5:34 PM,5:36 PM,5:38 PM,5:39 PM,5:41 PM,5:43 PM,5:45 PM,5:47 PM
50,5:45 PM,5:47 PM,5:49 PM,5:51 PM,5:53 PM,5:54 PM,5:56 PM,5:58 PM,6:00 PM,6:02 PM
51,6:00 PM,6:02 PM,6:04 PM,6:06 PM,6:08 PM,6:09 PM,6:11 PM,6:13 PM,6:15 PM,6:17 PM
52,6:15 PM,6:17 PM,6:19 PM,6:21 PM,6:23 PM,6:24 PM,6:26 PM,6:28 PM,6:30 PM,6:32 PM
53,6:30 PM,6:32 PM,6:34 PM,6:36 PM,6:38 PM,6:39 PM,6:41 PM,6:43 PM,6:45 PM,6:47 PM
54,6:45 PM,6:47 PM,6:49 PM,6:51 PM,6:53 PM,6:54 PM,6:56 PM,6:58 PM,7:00 PM,7:02 PM
55,7:00 PM,7:02 PM,7:04 PM,7:06 PM,7:08 PM,7:09 PM,7:11 PM,7:13 PM,7:15 PM,7:17 PM
56,7:15 PM,7:17 PM,7:19 PM,7:21 PM,7:23 PM,7:24 PM,7:26 PM,7:28 PM,7:30 PM,7:32 PM
57,7:30 PM,7:32 PM,7:34 PM,7:36 PM,7:38 PM,7:39 PM,7:41 PM,7:43 PM,7:45 PM,7:47 PM
58,7:45 PM,7:47 PM,7:49 PM,7:51 PM,7:53 PM,7:54 PM,7:56 PM,7:58 PM,8:00 PM,8:02 PM
59,8:00 PM,8:02 PM,8:04 PM,8:06 PM,8:08 PM,8:09 PM,8:11 PM,8:13 PM,8:15 PM,8:17 PM
60,8:20 PM,8:22 PM,8:24 PM,8:26 PM,8:28 PM,8:29 PM,8:31 PM,8:33 PM,8:35 PM,8:37 PM
61,8:40 PM,8:42 PM,8:44 PM,8:46 PM,8:48 PM,8:49 PM,8:51 PM,8:53 PM,8:55 PM,8:57 PM
62,9:00 PM,9:02 PM,9:04 PM,9:06 PM,9:08 PM,9:09 PM,9:11 PM,9:13 PM,9:15 PM,9:17 PM
63,9:20 PM,9:22 PM,9:24 PM,9:26 PM,9:28 PM,9:29 PM,9:31 PM,9:33 PM,9:35 PM,9:37 PM
64,9:40 PM,9:42 PM,9:44 PM,9:46 PM,9:48 PM,9:49 PM,9:51 PM,9:53 PM,9:55 PM,9:57 PM
65,10:00 PM,10:02 PM,10:04 PM,10:06 PM,10:08 PM,10:09 PM,10:11 PM,10:13 PM,10:15 PM,10:17 PM
66,10:20 PM,10:22 PM,10:24 PM,10:26 PM,10:28 PM,10:29 PM,10:31 PM,10:33 PM,10:35 PM,10:37 PM
67,10:40 PM,10:42 PM,10:44 PM,10:46 PM,10:48 PM,10:49 PM,10:51 PM,10:53 PM,10:55 PM,10:57 PM
68,11:00 PM,11:02 PM,11:04 PM,11:06 PM,11:08 PM,11:09 PM,11:11 PM,11:13 PM,11:15 PM,11:17 PM
69,11:20 PM,11:22 PM,11:24 PM,11:26 PM,11:28 PM,11:29 PM,11:31 PM,11:33 PM,11:35 PM,11:37 PM
70,11:40 PM,11:42 PM,11:44 PM,11:46 PM,11:48 PM,11:49 PM,11:51 PM,11:53 PM,11:55 PM,11:57 PM
