stop_sequence,Intermodal,St. Paul at Plankinton EB,Historic Third Ward EB,Wisconsin Ave. NB,City Hall NB,Cathedral Square EB,Jackson at Juneau NB,Ogden Jackson EB,Ogden at Astor EB,Burns Commons
1,05:00,05:02,05:04,05:06,05:08,05:09,05:11,05:13,05:15,05:17
2,05:20,05:22,05:24,05:26,05:28,05:29,05:31,05:33,05:35,05:37
3,05:40,05:42,05:44,05:46,05:48,05:49,05:51,05:53,05:55,05:57
4,06:00,06:02,06:04,06:06,06:08,06:09,06:11,06:13,06:15,06:17
5,06:20,06:22,06:24,06:26,06:28,06:29,06:31,06:33,06:35,06:37
6,06:40,06:42,06:44,06:46,06:48,06:49,06:51,06:53,06:55,06:57
7,07:00,07:02,07:04,07:06,07:08,07:09,07:11,07:13,07:15,07:17
8,07:15,07:17,07:19,07:21,07:23,07:24,07:26,07:28,07:30,07:32
9,07:30,07:32,07:34,07:36,07:38,07:39,07:41,07:43,07:45,07:47
10,07:45,07:47,07:49,07:51,07:53,07:54,07:56,07:58,08:00,08:02
11,08:00,08:02,08:04,08:06,08:08,08:09,08:11,08:13,08:15,08:17
12,08:15,08:17,08:19,08:21,08:23,08:24,08:26,08:28,08:30,08:32
13,08:30,08:32,08:34,08:36,08:38,08:39,08:41,08:43,08:45,08:47
14,08:45,08:47,08:49,08:51,08:53,08:54,08:56,08:58,09:00,09:02
15,09:00,09:02,09:04,09:06,09:08,09:09,09:11,09:13,09:15,09:17
16,09:15,09:17,09:19,09:21,09:23,09:24,09:26,09:28,09:30,09:32
17,09:30,09:32,09:34,09:36,09:38,09:39,09:41,09:43,09:45,09:47
18,09:45,09:47,09:49,09:51,09:53,09:54,09:56,09:58,10:00,10:02
19,10:00,10:02,10:04,10:06,10:08,10:09,10:11,10:13,10:15,10:17
20,10:15,10:17,10:19,10:21,10:23,10:24,10:26,10:28,10:30,10:32
21,10:30,10:32,10:34,10:36,10:38,10:39,10:41,10:43,10:45,10:47
22,10:45,10:47,10:49,10:51,10:53,10:54,10:56,10:58,11:00,11:02
23,11:00,11:02,11:04,11:06,11:08,11:09,11:11,11:13,11:15,11:17
24,11:15,11:17,11:19,11:21,11:23,11:24,11:26,11:28,11:30,11:32
25,11:30,11:32,11:34,11:36,11:38,11:39,11:41,11:43,11:45,11:47
26,11:45,11:47,11:49,11:51,11:53,11:54,11:56,11:58,12:00,12:02
27,12:00,12:02,12:04,12:06,12:08,12:09,12:11,12:13,12:15,12:17
28,12:15,12:17,12:19,12:21,12:23,12:24,12:26,12:28,12:30,12:32
29,12:30,12:32,12:34,12:36,12:38,12:39,12:41,12:43,12:45,12:47
30,12:45,12:47,12:49,12:51,12:53,12:54,12:56,12:58,13:00,13:02
31,13:00,13:02,13:04,13:06,13:08,13:09,13:11,13:13,13:15,13:17
32,13:15,13:17,13:19,13:21,13:23,13:24,13:26,13:28,13:30,13:32
33,13:30,13:32,13:34,13:36,13:38,13:39,13:41,13:43,13:45,13:47
34,13:45,13:47,13:49,13:51,13:53,13:54,13:56,13:58,14:00,14:02
35,14:00,14:02,14:04,14:06,14:08,14:09,14:11,14:13,14:15,14:17
36,14:15,14:17,14:19,14:21,14:23,14:24,14:26,14:28,14:30,14:32
37,14:30,14:32,14:34,14:36,14:38,14:39,14:41,14:43,14:45,14:47
38,14:45,14:47,14:49,14:51,14:53,14:54,14:56,14:58,15:00,15:02
39,15:00,15:02,15:04,15:06,15:08,15:09,15:11,15:13,15:15,15:17
40,15:15,15:17,15:19,15:21,15:23,15:24,15:26,15:28,15:30,15:32
41,15:30,15:32,15:34,15:36,15:38,15:39,15:41,15:43,15:45,15:47
42,15:45,15:47,15:49,15:51,15:53,15:54,15:56,15:58,16:00,16:02
43,16:00,16:02,16:04,16:06,16:08,16:09,16:11,16:13,16:15,16:17
44,16:15,16:17,16:19,16:21,16:23,16:24,16:26,16:28,16:30,16:32
45,16:30,16:32,16:34,16:36,16:38,16:39,16:41,16:43,16:45,16:47
46,16:45,16:47,16:49,16:51,16:53,16:54,16:56,16:58,17:00,17:02
47,17:00,17:02,17:04,17:06,17:08,17:09,17:11,17:13,17:15,17:17
48,17:15,17:17,17:19,17:21,17:23,17:24,17:26,17:28,17:30,17:32
49,17:30,17:32,17:34,17:36,17:38,17:39,17:41,17:43,17:45,17:47
50,17:45,17:47,17:49,17:51,17:53,17:54,17:56,17:58,18:00,18:02
51,18:00,18:02,18:04,18:06,18:08,18:09,18:11,18:13,18:15,18:17
52,18:15,18:17,18:19,18:21,18:23,18:24,18:26,18:28,18:30,18:32
53,18:30,18:32,18:34,18:36,18:38,18:39,18:41,18:43,18:45,18:47
54,18:45,18:47,18:49,18:51,18:53,18:54,18:56,18:58,19:00,19:02
55,19:00,19:02,19:04,19:06,19:08,19:09,19:11,19:13,19:15,19:17
56,19:15,19:17,19:19,19:21,19:23,19:24,19:26,19:28,19:30,19:32
57,19:30,19:32,19:34,19:36,19:38,19:39,19:41,19:43,19:45,19:47
58,19:45,19:47,19:49,19:51,19:53,19:54,19:56,19:58,20:00,20:02
59,20:00,20:02,20:04,20:06,20:08,20:09,20:11,20:13,20:15,20:17
60,20:20,20:22,20:24,20:26,20:28,20:29,20:31,20:33,20:35,20:37
61,20:40,20:42,20:44,20:46,20:48,20:49,20:51,20:53,20:55,20:57
62,21:00,21:02,21:04,21:06,21:08,21:09,21:11,21:13,21:15,21:17
63,21:20,21:22,21:24,21:26,21:28,21:29,21:31,21:33,21:35,21:37
64,21:40,21:42,21:44,21:46,21:48,21:49,21:51,21:53,21:55,21:57
65,22:00,22:02,22:04,22:06,22:08,22:09,22:11,22:13,22:15,22:17
66,22:20,22:22,22:24,22:26,22:28,22:29,22:31,22:33,22:35,22:37
67,22:40,22:42,22:44,22:46,22:48,22:49,22:51,22:53,22:55,22:57
68,23:00,23:02,23:04,23:06,23:08,23:09,23:11,23:13,23:15,23:17
69,23:20,23:22,23:24,23:26,23:28,23:29,23:31,23:33,23:35,23:37
70,23:40,23:42,23:44,23:46,23:48,23:49,23:51,23:53,23:55,23:57
